model,adversarial_resistance,cognitive_abilities,realtime_responsiveness,technical_fluency,visual_comprehension,Average
claude-3-7-sonnet-20250219,62.7%,38.8%,25.6%,56.9%,28.9%,42.6%
gemini-2.5-pro-preview-05-06,58.7%,43.8%,46.2%,58.0%,30.8%,47.5%
gemini-2.5-flash-preview-04-17,58.7%,42.6%,31.4%,51.2%,23.6%,41.5%
gpt-4o,52.0%,29.1%,25.0%,49.2%,25.5%,36.2%
gpt-4o-mini,56.0%,19.4%,25.0%,44.9%,18.3%,32.7%
qwen2.5-vl-72b-instruct,49.3%,13.6%,19.2%,36.5%,12.2%,26.2%
qwen2.5-vl-32b-instruct,49.3%,9.7%,19.2%,34.5%,12.2%,25.0%
qwen2.5-vl-7b-instruct,36.0%,1.2%,0.0%,21.2%,3.4%,12.4%
Average,52.8%,24.8%,24.0%,44.1%,19.3%,33.0%
