model,adversarial_resistance,cognitive_abilities,realtime_responsiveness,technical_fluency,visual_comprehension
claude-3-7-sonnet-20250219,0.6266666666666667,0.38759689922480617,0.25641025641025644,0.5918367346938775,0.2889733840304182
claude-3-7-sonnet-20250219-computeruse,0.36000000000000004,0.023255813953488372,0.25641025641025644,0.3857142857142857,0.07984790874524714
gemini-2.5-pro-preview-05-06,0.5866666666666667,0.437984496124031,0.46153846153846156,0.6040816326530613,0.3079847908745247
gemini-2.5-pro-preview-05-06-textonly,0.52,0.29069767441860467,0.46153846153846156,0.5428571428571429,0.22433460076045628
gemini-2.5-flash-preview-04-17,0.5866666666666667,0.4263565891472868,0.31410256410256415,0.5326530612244899,0.23574144486692014
gpt-4o,0.52,0.29069767441860467,0.25,0.5122448979591837,0.25475285171102663
gpt-4o-mini,0.56,0.19379844961240308,0.25,0.4673469387755102,0.18250950570342203
qwen2.5-vl-72b-instruct,0.49333333333333335,0.13565891472868216,0.19230769230769232,0.3653061224489796,0.12167300380228137
qwen2.5-vl-32b-instruct,0.49333333333333335,0.09689922480620154,0.19230769230769232,0.34489795918367344,0.12167300380228137
qwen2.5-vl-7b-instruct,0.36000000000000004,0.011627906976744186,0.0,0.2122448979591837,0.03422053231939163
